,県名,料理名,説明
56,岩手県,ひっつみ／ひっつみ汁,県央地域は北上川流域で平坦な土地が多く、古くから水田地帯がひらけており米の生産...
57,岩手県,きりせんしょ,「きりせんしょ」の名前の由来は、昔は山椒を刻んで浸した汁で粉を練ったことから...
58,岩手県,まめぶ汁,「まめぶ汁」とは煮干しや昆布だしが利いた醤油系の汁に、身近な野菜や焼き豆腐など...
59,岩手県,がんづき,「がんづき」は県南地域を中心に県全域で食べられているお菓子。名前の由来は、丸い形...
60,岩手県,すき昆布の煮物,「すき昆布」とは、三陸沿岸でとれた若い昆布をボイルして細くカットし、板状にして...
61,岩手県,伝統餅料理,県南地域は比較的温暖な気候で古くから米の生産が中心であり、米が安定して栽培され...
62,岩手県,柳ばっと,岩手県北部は冷涼な気候で米が育ちにくいため、厳しい環境でも育つヒエやアワ、そば...
63,岩手県,豆しとぎ,「豆しとぎ」は煮てつぶした青大豆に米粉と砂糖を入れて練った生菓子で、「しとぎ」...
64,岩手県,果報だんご,弘法大師の誕生日である12月24日 (旧暦11月24日)の「大師講」という民間行事の日に...
65,岩手県,煮しめ,煮しめは県内全域において、冠婚葬祭、正月、盆など人が集まる際に作る習わしがある...
66,岩手県,お茶もち,県央地域は北上川流域で平坦な土地が多く、古くから水田地帯がひらけており、米の生...
67,岩手県,氷頭なます,岩手県は、秋鮭の水揚げが本州トップクラス。特に津軽石川は宮古湾最奥部に注ぐ清流...
68,岩手県,いもの子汁,北上川流域はさといもの生産に向いた土壌で、昔からさといもが多く作られている。さ...
69,岩手県,へっちょこだんご／うきうきだんご,岩手県北部は冷涼な気候で米が育ちにくいため、厳しい環境でも育つヒエやアワ、そば...
70,岩手県,かまもち,岩手県は寒冷な気候であり、ときには冷害で米だけでは食生活が安定しないこともあっ...
71,岩手県,そばかっけ,岩手県北部は東からの冷風である「やませ」の影響もあり寒さが厳しく、かつては水田...
72,岩手県,ひなまんじゅう,県央地域は北上川流域で平坦な土地が多く、米、小麦、大麦、そばなどの栽培が盛んで...
73,岩手県,さんまのすり身汁,岩手県は、さんまの海面漁業の漁獲量が本州1位だ（農林水産省「令和2年漁業・養殖業...
74,岩手県,うこぎのほろほろ,「うこぎ」はたらの芽、うどと同じウコギ科の落葉低木で、樹高は2～7m。短枝が多く...
75,岩手県,小豆ばっとう,「小豆ばっとう」は、甘みをつけた小豆汁に幅広で短めのうどんを入れて煮込んだ料理...
76,岩手県,豆腐田楽,県北地域は冷涼な気候で米が育ちにくいため、厳しい気候でもよく育つ大豆を生産して...
77,岩手県,うす焼き,小麦粉を水で溶いたものを薄くのばし、ねぎ、紅しょうが、桜えび、天かす、海苔などを...
78,岩手県,どんこ汁,「どんこ」とは三陸沿岸でよく獲れるエゾイソアイナメ、チゴダラのこと。どんこは冬...
79,岩手県,けんちん汁,「けんちん汁」は、小さく切ったにんじん、大根、ごぼうなどの野菜と豆腐を油で炒め...
80,岩手県,みずたたき（とろろ）,秋田県との境にある奥羽山系は寒さが厳しく雪が多い地域であるが、豊かな山の幸にめ...
81,岩手県,天然ほやの酢の物,ほやは、「海のパイナップル」と呼ばれ、甘味、酸味、塩味、うま味、苦味の五味すべて...
82,岩手県,くるみ豆腐,「くるみ豆腐」は、すったくるみをこしたものに、水、砂糖を入れてくず粉で固めたも...
83,岩手県,しだみだんご,「しだみ」とはどんぐりのことで、「しだみだんご」は「しだみ」に砂糖を加えてだん...
84,岩手県,くるみ雑煮,「くるみ雑煮」は「くるみ餅」とも言われ、三陸沿岸の宮古地方で元日の朝に食べられ...
85,岩手県,ぬっぺい汁／八杯汁,「八杯汁」は、豆腐、干ししいたけ、ねぎを醤油味の汁に入れ、片栗粉でとろみをつけ...
86,宮城県,おくずかけ,県南地域を中心に、春と秋の彼岸やお盆の時期に食べる精進料理。法事で集まった人...
87,宮城県,仙台雑煮,江戸時代末期から食されている仙台雑煮。椀からはみ出すほどに大きな焼きハゼとハ...
88,宮城県,はらこ飯,宮城県には北上川、鳴瀬川、阿武隈川をはじめとする大小さまざまな河川があり、毎...
89,宮城県,ずんだ餅,宮城県では餅を食べる機会が多く、正月、婚礼、法事、葬儀などの年中行事には欠か...
90,宮城県,はっと汁,はっとは、県北一帯で食べられている、小麦粉を使用した郷土料理。小麦粉に水を加...
91,宮城県,ナメタガレイの煮つけ,ほかの地域では「ババガレイ」「インドガレイ」と呼ばれているナメタガレイ。ぬめ...
92,宮城県,ふすべ餅,米どころである宮城県では、昔から正月、婚礼、法事、葬儀などの年中行事には欠か...
93,宮城県,ホヤの酢の物,三陸の沿岸部で養殖されているホヤ。養殖されているのはマボヤが中心で、カキの殻...
94,宮城県,エビ餅,宮城県は餅料理が豊かで50種類以上あるといわれる。正月、婚礼、法事、葬儀などの...
95,宮城県,笹かまぼこの磯部揚げ,豊かな漁場を持つ宮城県では、気仙沼や石巻、塩竃、閖上といった漁港がある、明治...
96,宮城県,どんこ汁,ドンコは、エゾイソアイナメ、チゴダラの別名で、秋から冬にかけて旬を迎える魚で...
97,宮城県,みょうがの葉焼き,みょうがは本州から沖縄まで自生する多年草で、しょうがの仲間。花も茎も香味野菜...
98,宮城県,あざら,宮城県気仙沼市では新鮮な魚がよくとれる。メヌケは特に冬になると脂がのり旬を迎...
99,宮城県,油麩丼,お盆になると豆腐店は精進料理に使用する油揚げ、豆腐づくりに精を出した。しかし...
100,宮城県,いちじくの甘露煮,いちじくは、紀元前からある果物で、日本には「中国を経て長崎に伝来した」と言う...
101,宮城県,いわなの塩焼き,イワナは清らかな水が流れる源流地帯の上流域にのみ生息する魚。なかなか釣ること...
102,宮城県,柿なます,昔から「柿が赤くなると医者が青くなる」ということわざがあるように、柿にはビタ...
103,宮城県,がんづき,雁（がん）の肉に似ていることからその名がついたといわれる「がんづき」は、宮城...
104,宮城県,きしゃず炒り,きらず炒り、きしゃず炒りともいわれる伝統の郷土料理。きらずとは、豆腐をつくっ...
105,宮城県,呉汁,大豆は「畑の肉」と称され、必須アミノ酸がバランスよく含まれた良質なタンパク質...
106,宮城県,サンマのきがき,気仙沼の本吉地方では、昔からカツオの魚群が沿岸近くまで回遊し、大量に水揚げさ...
107,宮城県,サンマのすり身汁,サンマは、金華山沖を代表する魚で、古くから秋の味覚として親しまれてきた。サン...
108,宮城県,しそ巻き,しそは、縄文遺跡からも種の化石が出土するほど、古くから日本人に食されてきた食...
109,宮城県,仙台白菜の漬物,日本で白菜が栽培されるようになったのは明治時代からで、宮城県では日清・日露戦...
110,宮城県,たけのこご飯,たけのこは、和食に欠かせない食材で、「古事記」にも記されているほど、古くから...
111,宮城県,なす炒り,なすの旬は夏から秋であり、地域によって育てられている種類もまったく異なる。 ...
112,宮城県,ばっけ味噌,江戸時代、「味噌を用いず木葉、草根を食えばその毒にあたる」という教えが広がり...
113,宮城県,へそ大根のにしめ,寒さが厳しい東北地方では、古くから寒風に野菜や魚をさらして保存食をつくる習慣...
114,宮城県,ほっきめし,ホッキ貝（北寄貝）は、正式名をウバガイという大型の二枚貝で、その大きさと美味...
115,秋田県,いぶりがっこ,秋田の代表的な燻製干しのたくあん漬け。今では県内全域で作られているが、かつては…
116,秋田県,ハタハタ寿し,ハタハタは元来深海に住む魚で、海が荒れて雷鳴がとどろくような時に、産卵期の一時期…
117,秋田県,笹巻き,もち米を笹の葉で巻いて、イ草で結んで蒸し上げたもの。県内各地でつくられる伝統食で、…
118,秋田県,だまこ鍋,鶏ガラベースの汁に鶏肉や野菜、すり鉢で突いたご飯を団子にしたものが入った、秋田の冬…
119,秋田県,納豆汁,納豆汁はていねいにすり潰した納豆を混ぜた味噌汁で、秋田県南地域に伝わる郷土料理
120,秋田県,きりたんぽ鍋,きりたんぽ鍋は鶏ガラと調味料で作った汁に炊いたご飯をすり潰したものと野菜を入れた…
121,秋田県,いものこ汁,いものこ汁とは、里芋を用いて作られる汁料理で、鍋料理としても食される。岩手や秋田…
122,秋田県,柿漬け,「柿漬け」とはたっぷりの大根と渋柿を塩と砂糖で漬けた漬け物。発酵文化が根づいてきた…
123,秋田県,なた漬け,「なた漬け」は大根をなたで切って甘酒に漬けた漬け物。秋田三代名物がっこ（漬け物）…
124,秋田県,てんこ小豆の赤飯,秋田の赤飯。日本の赤飯文化には地域性や食文化の特徴があり、おめでたい日やお祝い…
125,秋田県,卵寒天,「卵寒天」は寒天液に、溶き卵と砂糖を混ぜてかためた料理。寒天の原料は海藻の天草…
126,秋田県,豆腐カステラ,「豆腐カステラ」は豆腐を搾って水分を切った状態で砂糖や卵などを混ぜてカステラ状…
127,秋田県,あさづけ,「あさづけ」は米を煮て、野菜や果物を砂糖と酢で味付けした料理。一般に認知されて…
128,秋田県,鱈の子炒り,鱈は欠かすことのできない秋田県の冬の味覚の魚。一般的にタラコと言えばスケトウダラ…
129,秋田県,かまぶく,「かまぶく」とはゆでてつぶしたじゃがいもに餅粉と砂糖を加えて、かまぼこ状に成型…
130,秋田県,じゅんさい鍋,「じゅんさい鍋」とは鶏肉やごぼうなどの具材とともにたっぷりのじゅんさいを入れた鍋…
131,秋田県,鱈汁,「鱈汁」は鱈とネギを味噌ベースの汁で煮た鍋料理。秋田県では「鱈」といえば、「ハタ…
132,秋田県,とんぶりの長芋和え,「とんぶり」は、アカザ科のコキア（ホウキギ）に実る1～2mmほどの緑色をした実の外…
133,秋田県,なすの花ずし,「なすの花ずし」は輪切りにした大ぶりのなすを漬けて中に餅米、菊の花、南蛮（赤とう…
134,秋田県,鯉の甘煮,「鯉の甘煮」は、血抜きした鯉を輪切りにして甘辛くじっくりと煮付けた料理。秋田県…
135,秋田県,おやき,「おやき」は餅米で作った皮であんこを包んでほんのり焼いた伝統菓子。おやきといえば…
136,秋田県,かすべ煮,「かすべ煮」とはエイの干物（干しかすべ）を甘辛く煮た料理。北海道や東北地方では、…
137,秋田県,しょっつる鍋,「しょっつる鍋」とは秋田に伝わる魚醤・塩魚汁（しょっつる）を出汁に、ハタハタを入…
138,秋田県,とろろまんま,「とろろまんま」はすり鉢ですりおろした「やまのいも」に濃いめの味噌汁を入れて…
139,秋田県,きゃのっこ汁／けの汁,「きゃのっこ汁」は細かく刻んだ野菜や山菜、金時豆などを出汁と味噌で味つけた汁料理…
140,秋田県,干し餅,「干し餅」とは撞いた餅を切って吊るし編みにして、多量の水分を含ませて寒さらしに…
141,秋田県,なすのこうじ漬け,「なすのこうじ漬け」とはなすを米と糀を使って漬け込んだ漬物。主に県南地域で漬けら…
142,秋田県,三杯みそ,「三杯みそ」とは餅米粉、うるち米粉、小豆を合わせて作った餅料理。それぞれの材料を…
143,秋田県,赤漬け／赤ずし,「赤漬け／赤ずし」とは炊いた餅米を塩で揉んだ赤じそと酢で漬け込んで発酵させた料理…
144,山形県,食用ぎくのおひたし,食用ぎく（刺身などのつま用の小ぎくを除く）の生産が盛んな山形県には菊を使った郷...
145,山形県,だし,野菜を生のまま手軽に食べられる夏の山形県の定番料理。山々に囲まれ夏は高温多湿で...
146,山形県,納豆汁,山形県では、食材が不足する冬を乗り越えるための保存食として、納豆を自家製するの...
147,山形県,どんがら汁／寒鱈汁,マダラは、日本海の荒波の中で産卵期を迎える魚であり、庄内地域の冬の味覚として親...
148,山形県,芋煮,「芋煮」の発祥は古く、1600年代半ばともいわれている。当時、最上川舟運の終点...
149,山形県,しょうゆの実,「しょうゆの実」は、大豆、小麦（押し麦を使用する場合もあり）、米に種麹を混ぜて...
150,山形県,うどと凍み大根のどんころ煮,「凍み大根」や「凍み餅」などは、東北地方でよく見られる保存食の製法で、雪国なら...
151,山形県,わらびたたき,日本一の生産量を誇る山形県産のわらびは、ぬめり成分が強くて柔らかく、良質なわら...
152,山形県,塩引きずし,ハレの日の郷土料理として伝承されている「塩引きずし」は米沢市の発祥。サケを塩漬...
153,山形県,くきたち干しの煮物,「くきたち干しの煮物」はアブラナ科の野菜「くきたち」を使った郷土料理。くきたち...
154,山形県,玉こんにゃく,「玉こんにゃく」は”玉こん”の愛称で親しまれている山形県民のソウルフードである...
155,山形県,卵寒天/醤油寒天,山形県では、寒天を用いた料理は昔から食べられており、お茶うけとしても振る舞われ...
156,山形県,鱒のあんかけ,「鱒のあんかけ」は、庄内地域を代表する春の料理。マスのなかでも最も美味とされる...
157,山形県,おかひじきのからし和え,「おかひじきのからし和え」で使われる「おかひじき」は、もともと海岸に自生する野...
158,山形県,からかい煮,「からかい」とは北海道でとれるエイ（カスベ）のヒレで軟骨部分を乾燥させた乾物の...
159,山形県,ハタハタの湯上げ,ハタハタはうろこのない淡白な味わいの魚で、庄内地域の秋の味覚として親しまれてい...
160,山形県,青菜漬,多様な漬物文化が残る山形県。「青菜漬」は高菜の一種「山形青菜」を使った漬物で、...
161,山形県,おみ漬,多様な漬物文化が残る山形県。「おみ漬」は高菜の一種「山形青菜（せいさい）」を使...
162,山形県,雪菜のふすべ漬け,「雪菜のふすべ漬け」は、置賜地域のブランド野菜「山形おきたま伝統野菜」の一つ「...
163,山形県,あけびの味噌詰め焼き／あけびの油焼き,あけびは、山形県民にとって欠かすことのできない郷土の味覚として根づいており、春...
164,山形県,うこぎの切り和え,うこぎを細かく切って味噌と和える「切り和え」は、うこぎの垣根が最も多い置賜地域...
165,山形県,鯉のうま煮,「鯉のうま煮」は、コイを輪切りにし、砂糖・醤油・酒で煮た郷土料理。コイはかつて...
166,山形県,ひょう干しの煮物／ひょう干し煮,山形県は全域が豪雪地帯に指定され、流通の悪かった時代には冬場の食糧を確保するこ...
167,山形県,くじら餅,「くじら餅」という名前だが、材料にくじらの肉を使っているわけではない。その名の...
168,山形県,笹巻き,「笹巻き」は、浸水後に水切りしたもち米を笹の葉で巻き、結びひもをかけた後、熱湯...
169,山形県,遠山かぶの粕汁,「遠山かぶ」は、米沢市を発祥とする山形県の伝統野菜。その名前は米沢市遠山地区に...
170,山形県,塩くじら汁,「塩くじら汁」は、内陸の暑い夏を乗り切るための伝統のスタミナ料理。かつては保存...
171,山形県,冷や汁,「冷や汁」という名前から汁物を想像するが、季節の野菜と冷たいだし汁（浸し汁）を...
172,山形県,孟宗汁,「孟宗汁」は、孟宗（孟宗筍）という孟宗竹のたけのこを使った郷土料理。孟宗の旬は...
173,福島県,いかにんじん,するめいかとにんじんを細切りにし、醤油とざらめ、またはみりんの甘辛いたれに漬け...
174,福島県,こづゆ,福島県には、会津塗と言われる赤い漆塗りの器がある。この会津塗のなかでも、浅めに...
175,福島県,にしんの山椒漬け,福島に生魚の流通がほとんどなかった江戸時代、北海道で獲れたにしんを乾燥させて...
176,福島県,サンマのポーポー焼き,いわき市には「いわき七浜」と呼ばれる七つの浜があり、その周辺には多くの漁港が...
177,福島県,ほっきめし,相馬市は古くから米の生産が盛んに行われてきた。現在もコシヒカリやひとめぼれなど...
178,福島県,鯉の甘露煮,福島県の郡山市では鯉の生産が盛ん。明治になると猪苗代湖から引水し、溜池をつくり...
179,福島県,キャベツ餅,郡山市の逢瀬地区では、80年以上前から「キャベツ餅」と呼ばれる一風変わった郷土...
180,福島県,ざくざく,だいこんやにんじん、しいたけ、ごぼうなどの材料をすべて一口大に切って、だしで煮...
181,福島県,みそかんぷら,古殿町など福島の一部の地域では馬鈴薯のことを「かんぷら」と呼び、主食として食べ...
182,福島県,大根もち,福島県では長年にわたり、さまざまな野菜が栽培されてきた。全国的に生産されている...
183,福島県,つゆ煮しめ,つゆ煮しめはだし汁に野菜やにしん、豆腐などを入れて煮込み、醤油や砂糖で味付けし....
184,福島県,はらこ飯,松川浦や浜通りの河川では、秋になると新鮮な鮭を獲ることができる。中でも請戸川は、福島...
185,福島県,豆数の子,福島県では大豆が多く生産されており、「おおすず」や「ふくいぶき」「里のほほえみ...
186,福島県,三五八漬け,田畑が多く新鮮な野菜がたくさん採れる二本松市周辺のエリアでは、野菜を使った郷土...
187,福島県,あんこうのとも和え,冬に旬を迎えるあんこう。捨てるところがない魚とも言われ、身だけでなく肝などもよく...
188,福島県,あんぽ柿のなます,福島県で柿が食べられるようになったのは、江戸時代頃からと言われている。梁川町...
189,福島県,おひら,海藻にまいたけ、川魚のハヤと、海と山、川の恵みがバランスよく取り入れられた煮物...
190,福島県,鯉のあらい,郡山で鯉の養殖が始まったのは明治時代。江戸時代、雨量が少ない地域であったために...
191,福島県,凍豆腐の卵とじ,豆腐を凍らせてから戻し、乾燥させて作る「凍豆腐」は、寒い地域特有の郷土料理。...
192,福島県,じゅうねんぼたもち,福島県はえごまの名産地。その歴史は明治時代よりも前と言われ、長く栽培が行われて...
193,福島県,しんごろう,福島県で多く栽培されているえごま。県内では「じゅうねん」と呼ばれ、さまざまな...
194,福島県,鯉こく,鯉の生産がさかんな福島県郡山市。生産だけでなく、鯉食文化を守るために「鯉に恋す...
195,福島県,馬刺し,福島に馬肉食が広まったのは、戊辰戦争の頃。県内に運ばれてきた負傷者に馬肉を食べ...
196,福島県,打ち豆と切り昆布の煮物,「打ち豆と切り昆布の煮物」は、打ち豆、切り昆布などの長期保存のきく食材をうまく...
197,福島県,ぼうたら煮,その昔、内陸にある会津若松は、新鮮な魚介を手に入れることが難しかった。そのため...
198,福島県,はっとう,そば粉と米粉、またはもち米粉を練ってのばし、ひし形に切ってゆでる「はっとう」。...
199,福島県,えご,「えご」とは「エゴ草」と呼ばれる海藻を煮て溶かし、四角く固めた料理のこと。寒天...
200,福島県,じゅうねん冷やだれ,福島ではえごまが盛んに生産されており、えごまを使った郷土料理がよく食べられてい...
201,福島県,こんにゃくの白和え,塙町はこんにゃくの産地として知られており、こんにゃくの製法を町に広めた藤衛門と...
202,福島県,どんこ汁,「どんこ」は北海道の函館周辺から福島県浜通り地方の沿岸沿いに生息している魚。正...
203,茨城県,しもつかれ／すみつかれ,「しもつかれ」は、正月の残りのサケの頭に、節分でまいた豆の残り、そして根菜など...
204,茨城県,わかさぎとれんこんの酢漬け,「わかさぎとれんこんの酢漬け」は、国内第2位の湖面積を誇る霞ヶ浦の特産品である...
205,茨城県,がりがりなます,茨城県は、1年を通じて温暖な気候と豊かな水質を活かして、古来より農業が営まれ、...
206,茨城県,つけけんちん,茨城県は、朝晩の寒暖差が大きく、水捌けの良い傾斜地が多いことから、江戸時代から...
207,茨城県,煮合い,茨城県は全国トップクラスの耕地面積を有し、れんこんやごぼう、ねぎなど、1年を通...
208,茨城県,紫錦梅,日本三名園の一つである、水戸の偕楽園は約100品種3000本の梅が植えられ、梅...
209,茨城県,たがね餅,いまでも田園風景が広がり、全国屈指の米どころとしても名高い茨城県。年間を通じて...
210,茨城県,干しいも,老若男女から親しまれているさつまいもの加工品である「干しいも」。茨城県は、全国...
211,茨城県,すだれ麩のごま酢和え,「すだれ麩のごま酢和え」は、茨城県結城市でつくられている郷土料理である。結城市...
212,茨城県,こも豆腐,1年を通じて温暖な気候と豊かな水質を活かして、古来より農業が営まれてきた茨城県...
213,茨城県,五目いなりずし,茨城県では、1年を通じて温暖な気候と豊かな水質を活かして、古来より農業が営まれ...
214,茨城県,小倉れんこん,茨城県のれんこんは、出荷量および作付面積ともに全国一位で、国内50%以上のシェ...
215,茨城県,かぼちゃのいとこ煮,茨城県は、市場でも評価の高い「江戸崎かぼちゃ」をはじめ、「那珂かぼちゃ」や「み...
216,茨城県,はまぐりごはん,茨城県大洗岬から千葉県犬吠埼にいたる海域の鹿島灘は、親潮と黒潮がぶつかる潮目で...
217,茨城県,いわしの卯の花漬け,全国屈指の“農業県”として名高い茨城県だが、その一方で、“漁業県”という一面も...
218,茨城県,うなぎの帆引き煮,国内第2位の広さを誇る霞ヶ浦は、海との交流もあり、プランクトンが豊富なことなど...
219,茨城県,ごさい漬け,茨城県大洗岬から千葉県犬吠埼にいたる海域の鹿島灘は、親潮と黒潮がぶつかる好漁場...
220,茨城県,鯉の唐揚げ,国内第2位の湖面積を誇る霞ヶ浦では、主に北浦において、昭和40年頃（1960年...
221,茨城県,海藻よせ,「海藻よせ」は、茨城県鹿嶋から千葉県・銚子に至る鹿島灘沿岸で食べられている郷土...
222,茨城県,赤餅,「赤餅」は、赤もろこしの粉でつくる、赤色をした餅のことである。鎌倉時代ごろ、阿...
223,茨城県,みつめのぼたもち,「みつめのぼたもち」とは、第1子の赤ちゃんが生まれて3日後に食べる大きなぼたも...
224,茨城県,そぼろ納豆／しょぼろ納豆,水戸市では、江戸時代、台風が来る前に収穫できる早生小粒の大豆を美味しく食べる工...
225,茨城県,柚子大根,ピーマンやれんこん、ごぼうなど、収穫量全国1位の食材を多く抱える国内屈指の“農...
226,茨城県,ピーナッツ味噌/落花生味噌,落花生は、別名「南京豆」とも呼ばれ、日本には江戸時代ごろ伝わったといわれている...
227,茨城県,いもがらの炒め煮/いもがらの五目煮,いもがらは、里芋などの葉柄の芋茎と呼ばれる部分を乾燥させたもの。呼び名は各県に...
228,茨城県,れんこんのきんぴら,国内第2位の湖面積を有する霞ヶ浦の湖畔ではれんこん栽培が盛んであり、国内生産量...
229,茨城県,手作りさしみこんにゃく,茨城県の奥久慈地方は、古くからこんにゃく栽培が盛んで、こんにゃく発祥の地といわ...
230,茨城県,凍みこんにゃく,茨城県北部の奥久慈群地方は、古くからこんにゃく栽培が盛んな地域であり、江戸時代...
231,茨城県,あんこうの共酢,ゆでたアンコウを肝入りの酢味噌につけて食べる郷土料理。 アンコウは茨城県の地...
