,県名,料理名,説明
10,北海道,美唄やきとり,札幌市と旭川市の中間に位置する美唄市。西部地域は石狩平野に属する低地帯であり、道内有数の穀倉地帯として有名である。また東部地域は、夕張山地に続く山岳兵陵地帯であり、かつては全国でも有数の炭坑の町として栄え、多くの炭坑労働者で賑わっていた。当時の炭坑労働者が好んで食べていたといわれるのが「美唄やきとり」である。いまも「美唄やきとり」は地元のソウルフードとして、子どもから大人まで幅広い世代に食べられている。 発祥は昭和30年（1950年前半）ごろ、美唄市内でやきとり屋台を営んでいた三船福太郎が考案したといわれている。当時、やきとり店では、精肉以外の内臓や皮を廃棄していたが、それを見て、もったいないと思った三船福太郎は内臓を使った「モツ串」を売り出した。「モツ串」は炭坑労働者をはじめとした地元の人から人気を博し、それが「美唄やきとり」として広まっていったといわれている。いまでも「美唄やきとり」は、鶏の頭から皮、内卵、内臓などのさまざまな部位とたまねぎを一つの串に刺して焼いた「モツ串」のことをさす。 「美唄やきとり」では、長ねぎではなくたまねぎを使用するのも特徴。その理由としては、農業が盛んな美唄市周辺はたまねぎの産地としても有名であり、長ねぎよりも比較的安価に質の良いたまねぎが手に入るからである。
11,北海道,室蘭やきとり,「室蘭やきとり」は、その名の通り、北海道室蘭市で考案された「やきとり」である。「やきとり」という名がついているが、実際には鶏肉ではなく豚肉が使用され、たまねぎと豚肉を交互に串に刺した串焼き料理である。甘みのあるタレと洋辛子を付けて食べる。 昭和12年（1937年）、日中戦争が起きると食料増産のために農家が豚を飼うようになり、昭和14年（1939年）には、豚の皮で軍靴をつくるために全国で養豚が奨励された。そうしたなか、室蘭市では豚の肉と皮以外は市内で消費して良いこととし、地元の屋台で豚のモツが多く取り扱われるようになったといわれている。その後、いまの「室蘭やきとり」のかたちとなる豚肉とたまねぎ、洋辛子という組み合わせが定着してきた。 当時、製鉄所で栄える室蘭市輪西町周辺では、豚肉の串焼きを提供する多くの屋台が存在した。「室蘭やきとり」の元祖といわれる「鳥よし」も昭和12年（1937年）に輪西町で店を構えた。 「室蘭やきとり」では、長ねぎではなくたまねぎを使用するのも特徴。その理由としては、北海道を産地とするたまねぎの方が長ねぎよりも安価に手に入り、また豚肉との相性が良いため定着してきた。
12,北海道,鯨汁,「鯨汁」は道南地域の正月料理で欠かせない料理。正月が近づくと、大鍋に塩くじらと野菜を煮こんでつくり、正月の三が日に食べる習いがある。何度も温め直して食べるため、一緒に入れる野菜は煮崩れしない食材が使われる。一部の地域では「くじな汁」とも呼ばれている。 江戸後期から明治時代にかけてニシン漁が盛んにおこなわれていた時代、道南地域では、“ニシンを岸に追い込んでくれる”くじらは、縁起の良い動物として崇められていた。初春からはじまるニシン漁の豊漁を祈願するため、正月に食べられてきたとされている。また、巨大なくじらの姿にあやかって、大物になるようにと縁起を担いで、年越しや正月に食べる地域もある。 北海道では、タンパク源となるくじらは貴重な食材であり、厳しい冬を乗り切るために塩蔵した塩くじらをつくり保存食としていた。「鯨汁」で使われる食材は塩くじらを使う。また、一緒に煮こむ食材も晩秋の季節に収穫した越冬野菜や塩漬けにした山菜といった保存食でつくられていた。栄養価の高い「鯨汁」は、極寒の北海道の冬を乗り切るためには欠かせない料理でもあった。
13,北海道,ルイベ,「ルイベ」はサケやマスなどの魚を冷凍させてから、解凍させないまま刺身にして食べる郷土料理。口に入れた時の凍った食感と口のなかで次第に溶けていく味わいが特徴。「ルイベ」はアイヌ民族発祥の料理といわれている。北海道のサケの漁獲の歴史は古く、アイヌの人々は貴重なタンパク源としてサケを捕獲していた。寒さが厳しい冬に備え、サケを雪に埋めて凍らせて保存しておき、凍ったまま薄く切り分けて食べていたことが「ルイベ」の発祥といわれている。また、サケの身に潜むアニサキスなどの寄生虫は凍らせることによって死滅するため、寄生虫対策としても有効であった。名前の由来も、アイヌ語の“溶ける”を意味する「ル」と“食料”を意味する“イペ”を合わせた「ルイペ」が語源といわれている。「ルイベ 」は一般的にサケやマスを使用するが、ヒメマス・イカなどの魚介類の食品を凍ったまま、薄切りにして食べる方法を「ルイベ」と呼ぶこともある。
14,北海道,ニシン蕎麦,「ニシン蕎麦」は、ニシンの干物「身欠きニシン」を甘露煮にし、そばにのせた北海道の郷土料理。「ニシン蕎麦」といえば京都が有名だが、北海道でも昔から食べられてきた。京都の「ニシン蕎麦」は昆布と薄口醤油を使用した薄い味付けをする一方、北海道では濃口の味付けをするため、汁がほのかに甘いのが特徴。 江戸時代後期から明治ごろにかけて北海道沿岸部ではニシン漁が盛んだった。春になると、ニシンの大群が産卵のため沿岸に押し寄せると海が真っ白に染まる「群来（くき）」がみられた。冷凍技術が発達していなかった江戸時代、大量にとれたニシンは日持ちするよう干物に加工した身欠ニシンとして保存するようになった。タンパク源となる身欠ニシンは全国的にも貴重な保存食となり、北前船にのせて北海道から本州まで輸送されていた。そうして、京都をはじめとした各地に身欠ニシンは大量に運ばれ、北海道以外でもニシン料理が進化していった。 明治時代、ニシンの漁獲量はピークを迎えたが、昭和30年代ごろから、群来は急激に減り、ニシンはほとんどとれなくなった。しかし、全盛期の頃の名残から、現在でも北海道や京都など全国各地に「ニシン蕎麦」をはじめとした身欠きニシンを使用したニシン料理が存在している。 「ニシン蕎麦」は、京都が発祥といわれるが、北海道の「ニシン蕎麦」のルーツは、江差町でニシン漁が栄えたころの網元「横山家」に伝わるレシピだといわれている。
15,北海道,ザンギ,北海道では鶏の唐揚げのことを「ザンギ」と呼ぶ。「ザンギ」は一般的な鶏の唐揚と比べ味付けが濃いのが特徴。揚げる前に鶏肉を醤油ベースの甘辛いタレに漬けこんでつくられる。骨付き「ザンギ」と骨なし「ザンギ」の2種類あるが、道内では骨なし「ザンギ」を取り扱う店舗の方が多い。 「ザンギ」は、昭和30年ごろに釧路市の末広歓楽街に店を構えていた鶏料理店が、鶏一羽をぶつ切りにして唐揚げにしたのがはじまりといわれている。名前の由来は、店主が中国料理の鶏の唐揚げ「炸鶏（ザーチー／ザーギー）」に運が付くようにと、文字の間に「ン」を加えて「ザ『ン』ギ」と呼ばれるようになったという説がある。 いまでは、鶏肉の唐揚げ以外にも、「タコザンギ」や「サケザンギ」など食材に衣を付けて揚げたものを「～ザンギ」と名称をつけて呼んでいる。
16,北海道,ししゃもの甘露煮,「ししゃもの甘露煮」は、北海道を代表する魚の一つシシャモを使った郷土料理。シシャモの調理方法は幅広く「ししゃもの甘露煮」をはじめ、オイル漬けや、酢漬け、昆布巻などの郷土料理がいまも根づいている。 シシャモは、太平洋岸の限られた河川にしか生息していない日本固有の貴重な北海道の特産種。近年、全国で流通する多くのシシャモのほとんどは、大西洋で漁獲された輸入の「カラフトシシャモ」であり、本来のシシャモと呼ばれる北海道産はごくわずかしか流通していない。シシャモは川で生まれて、海で育つ回遊魚。10月中旬から11月の晩秋にかけて群れで河川に溯上し、川底で産卵する。特に卵を持った雌の子持ちシシャモは美味であり、ごはんのおかずにも、酒の肴としてもよく合う。 アイヌの人たちにとって、冬を越す貴重な食材としてシシャモやサケなどの魚は重宝されていた。シシャモは漢字で「柳葉魚」と書くが、その由来は、アイヌの神様により柳の葉からつくられたという逸話に基づいている。
17,北海道,カスベの煮付け,「カスベの煮付け」は、家庭で頻繁につくられている冬の郷土料理。「カスベ」は、北海道の方言で「エイ」という意味を持つ。軟骨魚類に属するカスベの骨は柔らかいため、身から骨まで残すところなく全て食べることができる。コラーゲンが多く含まれていることから、最近は美容食としても注目されている。名前の由来は諸説ある。調理法が確立していない昔、体内でアンモニア臭を発生するカスベは、臭みが強く敬遠されていたといわれ、そのことから「煮ても焼いても食べれない“かす”にしかならない魚」ということから名付けられたという説がある。また、ほかにも、アイヌ語の「カシュムベ／カシュペ」から来ているという説などがある。アイヌ民族は昔から干した「カスベ」などの魚をたたいて、ゆでた野草と一緒に食べていたという。しかし近年まで、臭みがあることから食用として重宝されておらず、肥料などに使用されていたという歴史もある。いまでは臭みを取り、美味しく調理をする方法が確立したことで、食用として好まれるようになった。北海道でよく食べられるのは、背中に大きな目玉のような模様のある「メガネカスベ」という種類。日本海側北部の宗谷、留萌（るもい）地方に多く分布し、この付近では「マカスベ」という別名もある。また、ほかにも北海道では「アイヌカスベ」と呼ばれる「水カスベ（ソコガンギエイ）」も食べられることがある。
18,北海道,トキシラズ／トキ鮭の焼漬け,秋から初冬ごろにかけて、産卵のために北海道沿岸に遡上してくるサケを「秋サケ」と呼ぶが、春から夏にかけての季節外れの時期に遡上してきたシロザケのことを「トキシラズ」いう。漢字では「時不知」または「時鮭」と書き、時期を知らずにとれる魚という意味で名が付けられている。 秋にとれる一般的な秋サケと違うのは、その生まれた地。秋サケが北海道の川で生まれるのに対し、トキシラズはロシア北部のアムール川で生まれ、回遊している際に北海道の沿岸で漁獲される。若い状態で漁獲されるトキシラズは、産卵の準備がまだ整っていないため、脂や栄養が卵や白子ではなく全身にのっていることから、格別に美味しいといわれている。脂のりが非常に良く、身質が柔らかいトキシラズは貴重なサケであり、全国的にも人気が高い。 「トキシラズの焼漬け」は、トキシラズを使用した代表的な北海道の郷土料理の一つ。昔から家庭ではごちそうとして振る舞われていた。6月におこなわれる札幌祭（現・北海道神宮祭）の際、家庭では「トキシラズの焼漬け」や「赤飯」をつくり、食べていた。
19,北海道,いくらの醤油漬け,北海道を代表する海産物のいくらは、全国でも広く知られ、子どもから大人まで幅広い世代から絶大な人気を誇る。 サケ漁が最盛期を迎える9月から10月ごろになると、スーパーマーケットにはサケの卵の筋子が並び、多くの家庭でいくらづくりがおこなわれる。いくらづくりの味付けには、主に塩漬けと醤油漬けがあるが、家庭では塩漬けより醤油漬けの方がよくつくられる。 昔は、日本で筋子が多く食べられていた。筋子を塩漬けにした現在のいくらのような食べ方もしていたといわれるが、筋子といくらを区別する名称はなかった。いくらの名前の由来は、明治時代にいくらの語源となるロシアから伝わったとされる。しかし、その由来の説は、日露戦争の際に捕虜となったロシア人から伝わったとする説や、北洋での漁業が盛んになった際のロシアとの交流から伝わったとされる説など諸説存在している。いくらが食用として日本に広く知られるようになったのは、大正時代からとされている。
20,北海道,たちの味噌汁／スケソウダラの白子の味噌汁,北海道では、タラの白子のことを「たち」と呼び、マダラの白子を「真だち」、スケソウダラの白子を「すけだち」と呼び区別する。その白子を丸ごと入れた味噌汁が「たちの味噌汁」。北海道では冬の定番料理となっている。「鱈（タラ）」は、魚偏に雪と書くことからもわかるように、雪が降る寒い季節に旬を迎える魚。なかでも1月ごろから2月ごろが最も味が良いとされる。 タラは、既に室町時代から江戸や京都など各地で食べられていたといわれている。当時は、腐敗を防ぐため、腹を切らずに口から内臓を取り出し、そこに塩を入れて運んだため、「腹を切らない（切腹を想像しない食べ物）」ということで武士に喜ばれたという。 冷水性魚類に属するマダラの生息水温は2℃から4℃と低い。そのため、海水温が低い北海道周辺に多く分布しており、北海道は全国トップの漁獲量を誇る。また、夏から秋にかけて餌を探すために回遊するスケソウダラは道内ほぼ全域で漁獲される。
21,北海道,べこ餅,北海道民に昔から親しまれてきた「べこ餅」は、主に白と黒の2色が配された木の葉形の模様が特徴的な郷土菓子。北海道では端午の節句の際によく食べられている。青森県にも材料は同じだが、形や模様が異なる「べこ餅」という名の郷土菓子が存在する。 白と黒の2色、木の葉形が「べこ餅」の定番ではあるが、いまでは道南地域を中心にさまざまな色やかたちの「べこ餅」がある。黒糖だけを黒単色の「べこ餅」や人工着色で彩色された色あざやかな「べこ餅」、よもぎを混ぜた緑色の「べこ餅」など。かたちも木の葉形ではなく、花形、丸形などの「べこ餅」も存在する。 発祥については諸説ある。山形県の郷土菓子の「くじら餅」が、北海道で独自に進化して、独特の木の葉型になったといわれている説があるが、定かではない。現在も道南地域の一部では「べこ餅」を「くじら餅」と呼んでいる地域がある。 名前の由来も、白と黒の配色がホルスタインの色を連想させることから牛を意味する“べこ”を用いたという説、黒糖を混ぜた部分が“べっこう”の色合いに近いことから“べっこう餅”となったという説、”米粉（べいこ）”と砂糖を主な原材料としてつくっていたことから“べいこ餅”と呼ばれていた説など、諸説ある。
22,北海道,飯寿司,「飯寿司」は、魚と野菜を米麹に漬けて、乳酸発酵させたすし。低温発酵によってつくられる「飯寿司」は、主に北海道から東北地方の気温が低い、沿岸部の地域に伝わる郷土料理。初雪が降るころに、漁師の家でつくられていたものが発祥とされ、地域によってつくり方が微妙に異なるのも特徴の一つ。 「飯寿司」にはホッケやサケ、ハタハタ、ニシン、サンマなど北海道でとれるさまざまな魚が用いられる。特にホッケは価格も手ごろで、ほぼ1年を通して安定してとれるためため、北海道民に馴染まれている。北海道沿岸では、餌を食べに集まる春ごろと、産卵のために集まる秋ごろに多くのホッケが漁獲される。
23,北海道,松前漬,「松前漬」は、乾燥させたスルメイカと昆布を細切りにし、醤油、酒、みりん、砂糖などで漬け込んだ保存食で北海道の郷土料理。かつては、塩で漬け込んでいたが、味覚の好みの変化もあって、現在は醤油をベースにした味付けが多くつくられるようになっている。「松前漬」はその名の通り、松前藩が発祥といわれ、地元でとれた食材を使ってつくられていた。その後、漁師のお母さんたちが、冬の料理としてつくり、広まったとされている。 ニシン漁が栄えた江戸時代後期から明治時代、大量にとれたニシンの卵の数の子を使い、スルメイカと昆布を合わせてつくられていた。しかし、現在は数の子の価格も上がり、昔に比べ使う数の子の分量は減ってきた。一方、昭和になりニシン漁が衰退していくなか、松前町では、スルメイカ漁が本格的におこなわれるようになった。現在では、隣接する福島町と合わせ全国有数のスルメイカの生産地となっている。そのため、「松前漬」ではスルメイカと昆布が多く使われるようになってきた。
24,北海道,てっぽう汁,北海道の特に道東地域では、カニを入れた味噌汁のことを「てっぽう汁」と呼ぶ。「てっぽう汁」は、古くから根室地方の漁師料理として食べられてきた。その名の由来は、箸でカニの足をつついて食べる様子が鉄砲に弾を詰める仕草に似ていることから「てっぽう汁」と名付けられたといわれている。 「てっぽう汁」で使われる食材で特に有名なのが、根室地方で水揚げされる花咲ガニである（花咲ガニはカニという名が付いているが、正確にはヤドカリの仲間に分類される。タラバガニの近縁種）。 昨今では、花咲ガニの漁獲量は減少し、収穫時期も6月から9月と3ヶ月しかないため、貴重な食材となっている。生の花咲ガニは色の濃い茶褐色であるが、ゆで上げると花が咲いたような朱色に変わることから、花咲ガニと名付けられたという説もある。甲羅全体にあるトゲも特徴の一つである。
25,北海道,三平汁,「三平汁」は、塩漬けにしたサケやニシンなどの魚と人参や大根などの野菜を一緒に煮込んだ郷土料理。「三平汁」という名前の由来は、諸説ある。松前藩の藩主が狩りに出た際に、斉藤三平という漁師の家であり合わせのもので煮こんだ汁を食べて、大変気に入ったため「三平汁」という名がついた説や、有田焼の三平皿という深皿に盛ることが由来とされる説など、存在する。200年以上も前から食べられていたといわれ、江戸時代後期の見聞録「東遊記（とうゆうき）」の中に「三平汁」の記録が残っている。 「三平汁」は、塩漬けにして保存された生魚を魚を野菜とともに煮こみ、その魚の塩分だけで味を付ける。同じサケを食材とする「石狩鍋」と一緒にされることがあるが、味噌仕立てで生サケを使う「石狩鍋」とは異なり、「三平汁」は主に塩漬けされたサケを使うことが特徴。 使う魚や味付けは地域によってさまざま。道央地域や道東地域では塩ザケを使うが、道北地域では塩ダラも使用されることもある。檜山地方では、主に塩で味付けしたスケソウダラを使う「塩三平」と味噌で味付けした塩ザケを使う「味噌三平」がある。
26,北海道,ジンギスカン／成吉思汗,大正時代、第一次世界大戦の勃発により、羊毛の輸入が困難になると、国策として、綿羊飼育が奨励された。当時、北海道でも綿羊飼育が盛んとなり、このころから羊肉が食べられるようになったといわれている。第二次世界大戦後、衣料資源の不足によって、日本全国各地で羊毛需要がさらに高まるが、次第に輸入羊毛や化学繊維が国産羊毛に普及すると、北海道内では綿洋飼育から羊肉用の飼育へと変わっていった。「ジンギスカン」は当時の羊肉消費拡大のために根づいた料理といわれている。 「ジンギスカン」の発祥は諸説あるが、昭和のはじめごろ、羊肉を食べる習慣のなかった日本人向けに中国料理の「コウヤンロウ／カオヤンロウ（羊の焼肉）」を参考に考案されたなど、いわれている。 いまでは全国的にも有名となり、平成19年（2007年）には「石狩鍋」、「鮭のチャンチャン焼き」とともに、「農山漁村の郷土料理百選（農林水産省主催）」に選ばれている。
27,青森県,けいらん,秋が深まり稲刈りが終わり、農作業が一段落する11月には「秋仕舞い」の風習がある。隣近所や親戚らを招いて、米づくりが無事に終わったことを祝い、一年の農作業を労ってごちそうを振る舞う。「けいらん」は、秋仕舞いのごちそうの中でも人気のある料理である。椀の蓋を開けると白い卵形の団子が二つ浮かんでいる薄味のすまし汁で、団子が鶏の卵のように見えることから「けいらん」の名がついた。秋仕舞いの夜の酒盛りの際には一回り大きくつくった「けいらん」を茶碗一杯に盛り、にぎやかに食べるならわしもある。元は京都の料理で上方文化の伝承とともに旧南部藩に伝来したといわれ、現在では青森県下北地方、岩手県、秋田県の一部に伝わり、地域によってつくり方や味が異なる。
28,青森県,けの汁,津軽地方の代表的な郷土料理。由来については津軽の方言で「粥（かゆ）」を「け」と呼ぶことから「かゆの汁」とされるなど、諸説ある。 米が貴重だった時代に刻んだ具材を米に見立てて食べたという。約400年前の津軽藩祖・為信の時代から受け継がれたとの説もある。もともとは小正月の料理で、正月に家族の世話や来客対応に追われた嫁が小正月に里帰りする際、男衆のためにつくりおきしたもの。栄養豊富な保存食として、凍りついた汁を崩し温めなおして何日も食べたという。
29,青森県,せんべい汁,南部せんべいは旧南部藩の領地だった青森県南東部から岩手県北部にかけての伝統食品で、小麦粉に塩と水を混ぜ鉄製の型で丸く焼いたもの。戦前、農家の多くは鉄製の型を持っており、せんべいは冷害が多く米がよく取れなかった地域の貴重な保存食だった。これを味噌汁や鍋に入れて煮たものが「せんべい汁」だ。起源は諸説あるが、戦前に川で捕れたウグイを使ったあら汁にせんべいを入れて煮たのがきっかけという。この料理は地元で受け継がれたが「せんべい汁」という呼び名が定着したのは平成になってから。家庭でだけ食べる地味な料理と思われていたものを観光客向けの名物にしようと、八戸市の観光団体がPRに乗り出したのだ。現在では全国にその名を知られる地域おこしの立役者となった。
30,青森県,貝焼き味噌,古くからホタテ産地として知られた津軽湾周辺では、江戸時代からすでに「貝焼き味噌」を食べていたといわれる。網で海底をさらうと5から10年物の天然ホタテが獲れた時代で、直径20cmほどもある大きな貝殻を鍋代わりにして、イワシやサバの切り身と自家製の味噌をのせて焼いた素朴な漁師料理だった。後に庶民が卵を入手できるようになり、溶き卵を流しこんで一緒に全体をとじたが、当時は栄養をつけるために病人や妊産婦だけが口にできる特別な味だったという。津軽出身の太宰治は著書「津軽」の中で「貝焼き味噌」への憧れを綴っている。
31,青森県,鱈のじゃっぱ汁,「じゃっぱ」は津軽の方言で雑把（ざっぱ）、つまり「捨てるもの」という意味。普通は食べずに捨てる魚の頭や骨、皮、内臓などいわゆる「アラ」をさし、これらを丸ごと使ってつくる汁を「じゃっぱ汁」と呼ぶ。津軽地方の正月にタラは欠かせない「年取り魚」で、地元では「鱈正月」という言葉すらある。昔は大きなタラを丸ごと一尾買い、雪道を引きずって帰るのが年の瀬の風物詩であった。魚をおろして身を取った後の「アラ」を、大根や人参、ねぎなどとともに煮こんだ汁で冷え切った体を温めたのだ。豪快で手間がかからず、栄養満点でとびきり美味しい真冬の家庭料理だった。
32,青森県,べこもち,端午の節句のハレ食として受け継がれ、現在はおやつとしても食べられている。べこもちの原型は、うるち米粉ともち米粉に水と砂糖を加えて蒸した「くじらもち」という菓子で、もともとは江戸時代に北前船によって伝わったとされる。北海道と青森県では端午の節句に柏餅ではなくくじらもちを食べていた。稲作が発達しなかった下北地方で米は貴重品で、餅はハレ食だった。1960年代ごろから、大間町を中心に花模様入りのくじらもちが発展し、やがて美しい色彩と柄の「べこもち」として生まれ変わった。名前の由来は「つくる過程で牛の背中のようにまとめる」「黒砂糖と白砂糖の組み合わせが牛のまだら模様に似ている」など諸説ある。最近では色の数が増え、柄も動物やアニメキャラクターなど複雑なものに進化している。
